Entity,Code,Day,stringency_index
Afghanistan,AFG,2020/6/16,78.7
Afghanistan,AFG,2020/6/17,78.7
Afghanistan,AFG,2020/6/18,78.7
Afghanistan,AFG,2020/6/19,78.7
Afghanistan,AFG,2020/6/20,78.7
Afghanistan,AFG,2020/6/21,78.7
Afghanistan,AFG,2020/6/22,78.7
Afghanistan,AFG,2020/6/23,78.7
Afghanistan,AFG,2020/6/24,78.7
Afghanistan,AFG,2020/6/25,78.7
Afghanistan,AFG,2020/6/26,78.7
Afghanistan,AFG,2020/6/27,78.7
Afghanistan,AFG,2020/6/28,78.7
Afghanistan,AFG,2020/6/29,78.7
Afghanistan,AFG,2020/6/30,78.7
Afghanistan,AFG,2020/7/1,78.7
Afghanistan,AFG,2020/7/2,78.7
Afghanistan,AFG,2020/7/3,78.7
Afghanistan,AFG,2020/7/4,78.7
Afghanistan,AFG,2020/7/5,78.7
Afghanistan,AFG,2020/7/6,78.7
Afghanistan,AFG,2020/7/7,78.7
Afghanistan,AFG,2020/7/8,78.7
Afghanistan,AFG,2020/7/9,78.7
Afghanistan,AFG,2020/7/10,78.7
Afghanistan,AFG,2020/7/11,78.7
Afghanistan,AFG,2020/7/12,78.7
Afghanistan,AFG,2020/7/13,78.7
Afghanistan,AFG,2020/7/14,78.7
Afghanistan,AFG,2020/7/15,78.7
Afghanistan,AFG,2020/7/16,78.7
Afghanistan,AFG,2020/7/17,78.7
Afghanistan,AFG,2020/7/18,78.7
Afghanistan,AFG,2020/7/19,78.7
Afghanistan,AFG,2020/7/20,78.7
Afghanistan,AFG,2020/7/21,78.7
Afghanistan,AFG,2020/7/22,78.7
Afghanistan,AFG,2020/7/23,78.7
Afghanistan,AFG,2020/7/24,78.7
Afghanistan,AFG,2020/7/25,78.7
Afghanistan,AFG,2020/7/26,78.7
Afghanistan,AFG,2020/7/27,78.7
Afghanistan,AFG,2020/7/28,78.7
Afghanistan,AFG,2020/7/29,78.7
Afghanistan,AFG,2020/7/30,78.7
Afghanistan,AFG,2020/7/31,78.7
Afghanistan,AFG,2020/8/1,78.7
Afghanistan,AFG,2020/8/2,78.7
Afghanistan,AFG,2020/8/3,78.7
Afghanistan,AFG,2020/8/4,75
Afghanistan,AFG,2020/8/5,71.3
Afghanistan,AFG,2020/8/6,71.3
Afghanistan,AFG,2020/8/7,71.3
Afghanistan,AFG,2020/8/8,71.3
Afghanistan,AFG,2020/8/9,71.3
Afghanistan,AFG,2020/8/10,71.3
Afghanistan,AFG,2020/8/11,71.3
Afghanistan,AFG,2020/8/12,71.3
Afghanistan,AFG,2020/8/13,71.3
Afghanistan,AFG,2020/8/14,71.3
Afghanistan,AFG,2020/8/15,60.19
Afghanistan,AFG,2020/8/16,60.19
Afghanistan,AFG,2020/8/17,60.19
Afghanistan,AFG,2020/8/18,48.15
Afghanistan,AFG,2020/8/19,48.15
Afghanistan,AFG,2020/8/20,48.15
Afghanistan,AFG,2020/8/21,48.15
Afghanistan,AFG,2020/8/22,48.15
Afghanistan,AFG,2020/8/23,48.15
Afghanistan,AFG,2020/8/24,48.15
Afghanistan,AFG,2020/8/25,48.15
Afghanistan,AFG,2020/8/26,21.3
Afghanistan,AFG,2020/8/27,21.3
Afghanistan,AFG,2020/8/28,21.3
Afghanistan,AFG,2020/8/29,21.3
Afghanistan,AFG,2020/8/30,21.3
Afghanistan,AFG,2020/8/31,21.3
Afghanistan,AFG,2020/9/1,21.3
Afghanistan,AFG,2020/9/2,21.3
Afghanistan,AFG,2020/9/3,21.3
Afghanistan,AFG,2020/9/4,21.3
Afghanistan,AFG,2020/9/5,21.3
Afghanistan,AFG,2020/9/6,21.3
Afghanistan,AFG,2020/9/7,21.3
Afghanistan,AFG,2020/9/8,21.3
Afghanistan,AFG,2020/9/9,21.3
Afghanistan,AFG,2020/9/10,21.3
Afghanistan,AFG,2020/9/11,21.3
Afghanistan,AFG,2020/9/12,21.3
Afghanistan,AFG,2020/9/13,21.3
Afghanistan,AFG,2020/9/14,21.3
Afghanistan,AFG,2020/9/15,21.3
Afghanistan,AFG,2020/9/16,21.3
Afghanistan,AFG,2020/9/17,21.3
Afghanistan,AFG,2020/9/18,21.3
Afghanistan,AFG,2020/9/19,21.3
Afghanistan,AFG,2020/9/20,21.3
Afghanistan,AFG,2020/9/21,21.3
Afghanistan,AFG,2020/9/22,28.7
Afghanistan,AFG,2020/9/23,28.7
Afghanistan,AFG,2020/9/24,28.7
Afghanistan,AFG,2020/9/25,28.7
Afghanistan,AFG,2020/9/26,28.7
Afghanistan,AFG,2020/9/27,28.7
Afghanistan,AFG,2020/9/28,28.7
Afghanistan,AFG,2020/9/29,28.7
Afghanistan,AFG,2020/9/30,28.7
Afghanistan,AFG,2020/10/1,28.7
Afghanistan,AFG,2020/10/2,28.7
Afghanistan,AFG,2020/10/3,25
Afghanistan,AFG,2020/10/4,25
Afghanistan,AFG,2020/10/5,25
Afghanistan,AFG,2020/10/6,16.67
Afghanistan,AFG,2020/10/7,16.67
Afghanistan,AFG,2020/10/8,16.67
Afghanistan,AFG,2020/10/9,16.67
Afghanistan,AFG,2020/10/10,16.67
Afghanistan,AFG,2020/10/11,16.67
Afghanistan,AFG,2020/10/12,16.67
Afghanistan,AFG,2020/10/13,16.67
Afghanistan,AFG,2020/10/14,16.67
Afghanistan,AFG,2020/10/15,16.67
Afghanistan,AFG,2020/10/16,16.67
Afghanistan,AFG,2020/10/17,16.67
Afghanistan,AFG,2020/10/18,16.67
Afghanistan,AFG,2020/10/19,16.67
Afghanistan,AFG,2020/10/20,16.67
Afghanistan,AFG,2020/10/21,16.67
Afghanistan,AFG,2020/10/22,16.67
Afghanistan,AFG,2020/10/23,16.67
Afghanistan,AFG,2020/10/24,16.67
Afghanistan,AFG,2020/10/25,16.67
Afghanistan,AFG,2020/10/26,16.67
Afghanistan,AFG,2020/10/27,9.26
Afghanistan,AFG,2020/10/28,9.26
Afghanistan,AFG,2020/10/29,9.26
Afghanistan,AFG,2020/10/30,9.26
Afghanistan,AFG,2020/10/31,9.26
Afghanistan,AFG,2020/11/1,9.26
Afghanistan,AFG,2020/11/2,9.26
Afghanistan,AFG,2020/11/3,9.26
Afghanistan,AFG,2020/11/4,9.26
Afghanistan,AFG,2020/11/5,9.26
Afghanistan,AFG,2020/11/6,9.26
Afghanistan,AFG,2020/11/7,9.26
Afghanistan,AFG,2020/11/8,9.26
Afghanistan,AFG,2020/11/9,12.04
Afghanistan,AFG,2020/11/10,12.04
Afghanistan,AFG,2020/11/11,12.04
Afghanistan,AFG,2020/11/12,12.04
Afghanistan,AFG,2020/11/13,12.04
Afghanistan,AFG,2020/11/14,12.04
Afghanistan,AFG,2020/11/15,12.04
Afghanistan,AFG,2020/11/16,12.04
Afghanistan,AFG,2020/11/17,12.04
Afghanistan,AFG,2020/11/18,12.04
Afghanistan,AFG,2020/11/19,12.04
Afghanistan,AFG,2020/11/20,12.04
Afghanistan,AFG,2020/11/21,12.04
Afghanistan,AFG,2020/11/22,12.04
Afghanistan,AFG,2020/11/23,12.04
Afghanistan,AFG,2020/11/24,12.04
Afghanistan,AFG,2020/11/25,12.04
Afghanistan,AFG,2020/11/26,12.04
Afghanistan,AFG,2020/11/27,12.04
Afghanistan,AFG,2020/11/28,12.04
Afghanistan,AFG,2020/11/29,12.04
Afghanistan,AFG,2020/11/30,12.04
Afghanistan,AFG,2020/12/1,12.04
Afghanistan,AFG,2020/12/2,12.04
Afghanistan,AFG,2020/12/3,12.04
Afghanistan,AFG,2020/12/4,12.04
Afghanistan,AFG,2020/12/5,12.04
Afghanistan,AFG,2020/12/6,12.04
Afghanistan,AFG,2020/12/7,12.04
Afghanistan,AFG,2020/12/8,12.04
Afghanistan,AFG,2020/12/9,12.04
Afghanistan,AFG,2020/12/10,12.04
Afghanistan,AFG,2020/12/11,12.04
Afghanistan,AFG,2020/12/12,12.04
Afghanistan,AFG,2020/12/13,12.04
Afghanistan,AFG,2020/12/14,12.04
Afghanistan,AFG,2020/12/15,12.04
Afghanistan,AFG,2020/12/16,12.04
Afghanistan,AFG,2020/12/17,12.04
Afghanistan,AFG,2020/12/18,12.04
Afghanistan,AFG,2020/12/19,12.04
Afghanistan,AFG,2020/12/20,12.04
Afghanistan,AFG,2020/12/21,12.04
Afghanistan,AFG,2020/12/22,12.04
Afghanistan,AFG,2020/12/23,12.04
Afghanistan,AFG,2020/12/24,12.04
Afghanistan,AFG,2020/12/25,12.04
Afghanistan,AFG,2020/12/26,12.04
Afghanistan,AFG,2020/12/27,12.04
Afghanistan,AFG,2020/12/28,12.04
Afghanistan,AFG,2020/12/29,12.04
Afghanistan,AFG,2020/12/30,12.04
Afghanistan,AFG,2020/12/31,12.04
